,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color,year,DEM_Rate,REP_Rate,Metro_DEM_Votes,Metro_REP_Votes,Metro_DEM_Rate,Metro_REP_Rate,Race,2016,2020,% increase,fact,Arizona,Georgia,South Carolina
0,Delaware,Kent County,Joe Biden,DEM,44552,TRUE,10001,DE,84271,90551,37.6,174822,51.79611262,39.08616893,-75.56842232,blue,2020,49.50%,49.30%,1248520,543298,68.80,29.90,Black,2049000,2179000,25,Population percent change,13.90%,9.60%,11.30%
4,Delaware,New Castle County,Joe Biden,DEM,195034,TRUE,10003,DE,268870,286263,38.1,555133,51.56656153,39.57683344,-75.65269159,blue,2016,45.60%,50.80%,1073844,629919,60.4,35.4,Latino,165000,260000,18,"White alone, percent",82.60%,60.20%,68.60%
8,Delaware,Sussex County,Donald Trump,REP,71230,TRUE,10005,DE,106429,113111,49,219540,51.52181835,38.66055293,-75.39003806,red,2012,45.50%,53.30%,949912,698000,56.9,41.9,White,3728000,3822000,18,"Black or African American alone, percent",5.20%,32.60%,27.00%
12,District of Columbia,District of Columbia,Joe Biden,DEM,39041,TRUE,11001,,324881,359617,33.9,684498,52.53733393,38.90473394,-77.01629384,blue,2008,47.00%,52.20%,983548,691925,58.2,41,Asian,124000,188000,12,"Hispanic or Latino, percent",31.70%,9.90%,6.00%
19,Florida,Alachua County,Joe Biden,DEM,89704,TRUE,12001,FL,127298,135850,31.3,263148,51.6249411,29.67474972,-82.35771368,blue,2004,41.40%,58.00%,704626,702593,49.7,49.6,,,,,"Asian alone, percent",3.70%,4.40%,1.80%
27,Florida,Baker County,Donald Trump,REP,11911,TRUE,12003,FL,14753,13032,37.6,27785,46.90300522,30.33109792,-82.28462852,red,2000,43.00%,54.70%,538801,541266,48.4,48.6,,,,,,,,
35,Florida,Bay County,Donald Trump,REP,66097,TRUE,12005,FL,90768,91714,39.4,182482,50.25920365,30.26521549,-85.62024282,red,1996,45.80%,47.00%,,,,,,,,,,,,
43,Florida,Bradford County,Donald Trump,REP,10334,TRUE,12007,FL,14841,12138,40.1,26979,44.9905482,29.94994876,-82.16876767,red,1992,43.50%,42.90%,,,,,,,,,,,,
51,Florida,Brevard County,Donald Trump,REP,207883,TRUE,12009,FL,282023,294785,47.2,576808,51.10626066,28.29372186,-80.7322705,red,1988,39.50%,59.80%,,,,,,,,,,,,
59,Florida,Broward County,Joe Biden,DEM,618752,TRUE,12011,FL,929712,979439,40.1,1909151,51.30233282,26.15232238,-80.48712563,blue,1984,39.80%,60.20%,,,,,,,,,,,,
67,Florida,Calhoun County,Donald Trump,REP,5274,TRUE,12013,FL,8048,6396,40.2,14444,44.2813625,30.40602254,-85.19719429,red,1980,55.80%,41.00%,,,,,,,,,,,,
75,Florida,Charlotte County,Donald Trump,REP,73243,TRUE,12015,FL,86278,90676,58.6,176954,51.24269584,26.90548522,-81.91226117,red,1976,66.70%,33.00%,,,,,,,,,,,,
83,Florida,Citrus County,Donald Trump,REP,65352,TRUE,12017,FL,69376,73711,56.2,143087,51.51481267,28.84891085,-82.47939452,red,,,,,,,,,,,,,,,
91,Florida,Clay County,Donald Trump,REP,84480,TRUE,12019,FL,102225,105066,39.5,207291,50.68526854,29.98306336,-81.8578775,red,,,,,,,,,,,,,,,
99,Florida,Collier County,Donald Trump,REP,128950,TRUE,12021,FL,179336,184586,50.3,363922,50.72130841,26.11071565,-81.34757344,red,,,,,,,,,,,,,,,
107,Florida,Columbia County,Donald Trump,REP,23836,TRUE,12023,FL,35683,33422,40.7,69105,48.36408364,30.22424805,-82.62153929,red,,,,,,,,,,,,,,,
115,Florida,DeSoto County,Donald Trump,REP,8313,TRUE,12027,FL,20657,15742,40.6,36399,43.24844089,27.18636318,-81.80950448,red,,,,,,,,,,,,,,,
123,Florida,Dixie County,Donald Trump,REP,6759,TRUE,12029,FL,9218,7219,47.3,16437,43.91920667,29.6081916,-83.15880037,red,,,,,,,,,,,,,,,
130,Florida,Duval County,Joe Biden,DEM,252556,TRUE,12031,FL,448163,476066,36.1,924229,51.50952848,30.33157316,-81.67084283,blue,,,,,,,,,,,,,,,
138,Florida,Escambia County,Donald Trump,REP,96674,TRUE,12033,FL,154520,157002,37.2,311522,50.39836673,30.66892673,-87.362783,red,,,,,,,,,,,,,,,
146,Florida,Flagler County,Donald Trump,REP,43043,TRUE,12035,FL,51187,55952,50.9,107139,52.22374672,29.46142485,-81.31356839,red,,,,,,,,,,,,,,,
154,Florida,Franklin County,Donald Trump,REP,4675,TRUE,12037,FL,6714,5022,45,11736,42.79141104,29.87646472,-84.81402385,red,,,,,,,,,,,,,,,
161,Florida,Gadsden County,Joe Biden,DEM,16153,TRUE,12039,FL,21785,24232,40.7,46017,52.65880001,30.57947808,-84.61362454,blue,,,,,,,,,,,,,,,
168,Florida,Gilchrist County,Donald Trump,REP,7895,TRUE,12041,FL,9249,8366,42.5,17615,47.4936134,29.72583212,-82.80037638,red,,,,,,,,,,,,,,,
176,Florida,Glades County,Donald Trump,REP,3782,TRUE,12043,FL,7303,6060,47.2,13363,45.34909826,26.95643071,-81.18907378,red,,,,,,,,,,,,,,,
183,Florida,Gulf County,Donald Trump,REP,6113,TRUE,12045,FL,9586,6469,44.3,16055,40.29274369,29.95553379,-85.22659118,red,,,,,,,,,,,,,,,
191,Florida,Hamilton County,Donald Trump,REP,3815,TRUE,12047,FL,8281,5988,41.5,14269,41.96509917,30.49638882,-82.9479328,red,,,,,,,,,,,,,,,
199,Florida,Hardee County,Donald Trump,REP,6122,TRUE,12049,FL,14705,12523,35.1,27228,45.99309534,27.49270249,-81.80998298,red,,,,,,,,,,,,,,,
206,Florida,Hendry County,Donald Trump,REP,7906,TRUE,12051,FL,21437,18690,33.9,40127,46.57711765,26.55348333,-81.16585111,red,,,,,,,,,,,,,,,
214,Florida,Hernando County,Donald Trump,REP,70412,TRUE,12053,FL,87747,94949,48.9,182696,51.97103385,28.55363187,-82.42503829,red,,,,,,,,,,,,,,,
222,Florida,Highlands County,Donald Trump,REP,34873,TRUE,12055,FL,49727,52374,53.4,102101,51.29626546,27.34329434,-81.3410383,red,,,,,,,,,,,,,,,
230,Florida,Hillsborough County,Joe Biden,DEM,376367,TRUE,12057,FL,673286,705597,36.9,1378883,51.17163675,27.92907665,-82.30919543,blue,,,,,,,,,,,,,,,
238,Florida,Holmes County,Donald Trump,REP,8080,TRUE,12059,FL,10484,8946,42.5,19430,46.04220278,30.86792107,-85.81401731,red,,,,,,,,,,,,,,,
245,Florida,Indian River County,Donald Trump,REP,58872,TRUE,12061,FL,72290,78694,52.9,150984,52.12075452,27.69431171,-80.60624481,red,,,,,,,,,,,,,,,
253,Florida,Jackson County,Donald Trump,REP,15488,TRUE,12063,FL,26784,21688,41.6,48472,44.74335699,30.79542473,-85.21549244,red,,,,,,,,,,,,,,,
261,Florida,Jefferson County,Donald Trump,REP,4479,TRUE,12065,FL,7507,6598,47.2,14105,46.77773839,30.43748929,-83.89529238,red,,,,,,,,,,,,,,,
269,Florida,Lafayette County,Donald Trump,REP,3128,TRUE,12067,FL,5066,3678,39.1,8744,42.063129,29.98550163,-83.18109169,red,,,,,,,,,,,,,,,
276,Florida,Lake County,Donald Trump,REP,125859,TRUE,12069,FL,162402,172960,46.8,335362,51.57411991,28.7615363,-81.71126372,red,,,,,,,,,,,,,,,
284,Florida,Lee County,Donald Trump,REP,233247,TRUE,12071,FL,351918,366761,48.1,718679,51.03265853,26.57778609,-81.83374252,red,,,,,,,,,,,,,,,
292,Florida,Leon County,Joe Biden,DEM,103517,TRUE,12073,FL,136894,151208,30.7,288102,52.48418963,30.45804082,-84.27789669,blue,,,,,,,,,,,,,,,
300,Florida,Levy County,Donald Trump,REP,16749,TRUE,12075,FL,19364,20597,46.8,39961,51.54275419,29.31842893,-82.74355312,red,,,,,,,,,,,,,,,
308,Florida,Liberty County,Donald Trump,REP,2846,TRUE,12077,FL,5110,3255,40.3,8365,38.91213389,30.24137449,-84.88289858,red,,,,,,,,,,,,,,,
315,Florida,Madison County,Donald Trump,REP,5576,TRUE,12079,FL,9829,8645,42.9,18474,46.79549637,30.4441189,-83.47012097,red,,,,,,,,,,,,,,,
323,Florida,Manatee County,Donald Trump,REP,124987,TRUE,12081,FL,180595,193258,48,373853,51.6935801,27.47190568,-82.31531846,red,,,,,,,,,,,,,,,
331,Florida,Marion County,Donald Trump,REP,127826,TRUE,12083,FL,167211,181160,48.6,348371,52.00203232,29.21020748,-82.05665151,red,,,,,,,,,,,,,,,
339,Florida,Martin County,Donald Trump,REP,61168,TRUE,12085,FL,78002,79579,51.9,157581,50.50037758,27.07752204,-80.43147132,red,,,,,,,,,,,,,,,
347,Florida,Miami-Dade County,Joe Biden,DEM,617864,TRUE,12086,FL,1318627,1396889,39.7,2715516,51.44101526,25.61495929,-80.56228896,blue,,,,,,,,,,,,,,,
355,Florida,Monroe County,Donald Trump,REP,25693,TRUE,12087,FL,39822,36503,47.3,76325,47.82574517,25.3156183,-81.1106363,red,,,,,,,,,,,,,,,
363,Florida,Nassau County,Donald Trump,REP,42566,TRUE,12089,FL,39956,40622,45,80578,50.41326417,30.61059899,-81.80161576,red,,,,,,,,,,,,,,,
371,Florida,Okaloosa County,Donald Trump,REP,79798,TRUE,12091,FL,101745,98992,36.8,200737,49.31427689,30.69128366,-86.59172167,red,,,,,,,,,,,,,,,
379,Florida,Okeechobee County,Donald Trump,REP,11470,TRUE,12093,FL,21866,18706,41.1,40572,46.10568865,27.38644235,-80.88863139,red,,,,,,,,,,,,,,,
387,Florida,Orange County,Joe Biden,DEM,395014,TRUE,12095,FL,648446,672748,34.9,1321194,50.91969839,28.51442465,-81.32351241,blue,,,,,,,,,,,,,,,
395,Florida,Osceola County,Joe Biden,DEM,97297,TRUE,12097,FL,166820,171799,35.8,338619,50.73519206,28.06268562,-81.14947488,blue,,,,,,,,,,,,,,,
403,Florida,Palm Beach County,Joe Biden,DEM,433572,TRUE,12099,FL,701207,745070,44.6,1446277,51.51641076,26.64759584,-80.46551002,blue,,,,,,,,,,,,,,,
411,Florida,Pasco County,Donald Trump,REP,179621,TRUE,12101,FL,248572,262021,44.6,510593,51.31699808,28.30909548,-82.39319538,red,,,,,,,,,,,,,,,
419,Florida,Pinellas County,Joe Biden,DEM,277450,TRUE,12103,FL,459766,498109,47.8,957875,52.00146157,27.91960154,-82.72559904,blue,,,,,,,,,,,,,,,
427,Florida,Polk County,Donald Trump,REP,194586,TRUE,12105,FL,327706,340965,40.3,668671,50.99144422,27.9488798,-81.69757667,red,,,,,,,,,,,,,,,
435,Florida,Putnam County,Donald Trump,REP,25514,TRUE,12107,FL,35841,36925,45,72766,50.74485337,29.60865249,-81.74430345,red,,,,,,,,,,,,,,,
443,Florida,St. Johns County,Donald Trump,REP,110946,TRUE,12109,FL,114660,120843,43.4,235503,51.31272213,29.90164112,-81.44066458,red,,,,,,,,,,,,,,,
451,Florida,St. Lucie County,Donald Trump,REP,86831,TRUE,12111,FL,149385,156206,44.8,305591,51.11603418,27.37725646,-80.47202647,red,,,,,,,,,,,,,,,
459,Florida,Santa Rosa County,Donald Trump,REP,77385,TRUE,12113,FL,87175,83267,39.7,170442,48.85356896,30.70044159,-87.02197834,red,,,,,,,,,,,,,,,
467,Florida,Sarasota County,Donald Trump,REP,148370,TRUE,12115,FL,196433,215711,55.5,412144,52.33874568,27.18446789,-82.33150444,red,,,,,,,,,,,,,,,
475,Florida,Seminole County,Joe Biden,DEM,132528,TRUE,12117,FL,219935,235151,39.2,455086,51.67177193,28.71697276,-81.2363175,blue,,,,,,,,,,,,,,,
483,Florida,Sumter County,Donald Trump,REP,62761,TRUE,12119,FL,60725,60274,67,120999,49.81363482,28.704756,-82.08097332,red,,,,,,,,,,,,,,,
491,Florida,Suwannee County,Donald Trump,REP,16410,TRUE,12121,FL,22230,21694,42.5,43924,49.3898552,30.19560506,-82.99149468,red,,,,,,,,,,,,,,,
498,Florida,Taylor County,Donald Trump,REP,7751,TRUE,12123,FL,12414,9684,41.7,22098,43.8229704,30.04701274,-83.60352701,red,,,,,,,,,,,,,,,
506,Florida,Union County,Donald Trump,REP,5133,TRUE,12125,FL,9919,5320,39.5,15239,34.91042719,30.04385497,-82.37143421,red,,,,,,,,,,,,,,,
514,Florida,Volusia County,Donald Trump,REP,173821,TRUE,12127,FL,257275,270359,46.5,527634,51.23987461,29.05842069,-81.18192065,red,,,,,,,,,,,,,,,
522,Florida,Wakulla County,Donald Trump,REP,12874,TRUE,12129,FL,17490,14387,40.7,31877,45.13285441,30.16731986,-84.40067671,red,,,,,,,,,,,,,,,
529,Florida,Walton County,Donald Trump,REP,32947,TRUE,12131,FL,33317,32541,43.7,65858,49.41085365,30.64358166,-86.16965568,red,,,,,,,,,,,,,,,
537,Florida,Washington County,Donald Trump,REP,9876,TRUE,12133,FL,13231,11335,41.8,24566,46.1410079,30.61060117,-85.66533264,red,,,,,,,,,,,,,,,
544,Georgia,Appling County,Donald Trump,REP,6570,TRUE,13001,GA,9353,9101,39,18454,49.3172212,31.74922311,-82.28889645,red,,,,,,,,,,,,,,,
548,Georgia,Atkinson County,Donald Trump,REP,2300,TRUE,13003,GA,4208,4057,35.5,8265,49.08650938,31.29713318,-82.88007087,red,,,,,,,,,,,,,,,
552,Georgia,Bacon County,Donald Trump,REP,4017,TRUE,13005,GA,5564,5664,37,11228,50.44531528,31.55368009,-82.45269851,red,,,,,,,,,,,,,,,
556,Georgia,Baker County,Donald Trump,REP,897,TRUE,13007,GA,1521,1668,47,3189,52.30479774,31.32614478,-84.44471523,red,,,,,,,,,,,,,,,
560,Georgia,Baldwin County,Joe Biden,DEM,9140,TRUE,13009,GA,22759,22527,35.3,45286,49.7438502,33.06926621,-83.2495557,blue,,,,,,,,,,,,,,,
564,Georgia,Banks County,Donald Trump,REP,7795,TRUE,13011,GA,9281,9229,41.1,18510,49.85953539,34.35415051,-83.4973769,red,,,,,,,,,,,,,,,
568,Georgia,Barrow County,Donald Trump,REP,26804,TRUE,13013,GA,37771,39116,35.4,76887,50.87466022,33.99318851,-83.71273177,red,,,,,,,,,,,,,,,
572,Georgia,Bartow County,Donald Trump,REP,37672,TRUE,13015,GA,51332,52288,37.9,103620,50.46130091,34.23786493,-84.84049136,red,,,,,,,,,,,,,,,
576,Georgia,Ben Hill County,Donald Trump,REP,4111,TRUE,13017,GA,8047,9107,39.7,17154,53.08965839,31.75979097,-83.22050663,red,,,,,,,,,,,,,,,
580,Georgia,Berrien County,Donald Trump,REP,6419,TRUE,13019,GA,9299,9726,39.7,19025,51.12220762,31.27595307,-83.22963868,red,,,,,,,,,,,,,,,
584,Georgia,Bibb County,Joe Biden,DEM,43408,TRUE,13021,GA,72065,81425,36.2,153490,53.04905857,32.80649504,-83.69740491,blue,,,,,,,,,,,,,,,
588,Georgia,Bleckley County,Donald Trump,REP,4329,TRUE,13023,GA,5937,6838,36.8,12775,53.52641879,32.43444534,-83.32781353,red,,,,,,,,,,,,,,,
592,Georgia,Brantley County,Donald Trump,REP,6993,TRUE,13025,GA,9103,9458,40.9,18561,50.95630623,31.19687588,-81.98190369,red,,,,,,,,,,,,,,,
596,Georgia,Brooks County,Donald Trump,REP,4261,TRUE,13027,GA,7608,8014,43,15622,51.29944949,30.84198089,-83.58020128,red,,,,,,,,,,,,,,,
600,Georgia,Bryan County,Donald Trump,REP,14240,TRUE,13029,GA,17786,18099,34.6,35885,50.43611537,32.01447125,-81.44363801,red,,,,,,,,,,,,,,,
604,Georgia,Bulloch County,Donald Trump,REP,18387,TRUE,13031,GA,36777,38005,28.5,74782,50.82105319,32.3968077,-81.7431811,red,,,,,,,,,,,,,,,
608,Georgia,Burke County,Donald Trump,REP,5400,TRUE,13033,GA,10697,11853,37.5,22550,52.5631929,33.0610815,-82.00090103,red,,,,,,,,,,,,,,,
612,Georgia,Butts County,Donald Trump,REP,8406,TRUE,13035,GA,12661,11089,38.5,23750,46.69052632,33.28788112,-83.95718513,red,,,,,,,,,,,,,,,
616,Georgia,Calhoun County,Joe Biden,DEM,1263,TRUE,13037,GA,3875,2553,38.8,6428,39.71686372,31.52922229,-84.62453275,blue,,,,,,,,,,,,,,,
620,Georgia,Camden County,Donald Trump,REP,15249,TRUE,13039,GA,27019,25695,32.3,52714,48.74416664,30.93056291,-81.66997639,red,,,,,,,,,,,,,,,
624,Georgia,Candler County,Donald Trump,REP,3133,TRUE,13043,GA,5363,5464,37.8,10827,50.46642653,32.40344187,-82.07366027,red,,,,,,,,,,,,,,,
628,Georgia,Carroll County,Donald Trump,REP,37476,TRUE,13045,GA,56448,59574,34.5,116022,51.3471583,33.58278636,-85.07976835,red,,,,,,,,,,,,,,,
632,Georgia,Catoosa County,Donald Trump,REP,25167,TRUE,13047,GA,31991,34308,39.9,66299,51.74738684,34.9036289,-85.13824955,red,,,,,,,,,,,,,,,
636,Georgia,Charlton County,Donald Trump,REP,3419,TRUE,13049,GA,7522,5461,41.7,12983,42.06269737,30.78172967,-82.13793184,red,,,,,,,,,,,,,,,
