Year,Gender,Hispanic,Race,Population,State
2010,Male,Non Hispanic,White,"1,832,998",Arizona
2010,Male,Non Hispanic,Black or African American,"127,328",Arizona
2010,Male,Non Hispanic,American Indian and Alaska Native,"126,085",Arizona
2010,Male,Non Hispanic,Asian,"80,886",Arizona
2010,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,227",Arizona
2010,Male,Non Hispanic,Two or More Races,"54,380",Arizona
2010,Male,Hispanic,White,"863,391",Arizona
2010,Male,Hispanic,Black or African American,"19,772",Arizona
2010,Male,Hispanic,American Indian and Alaska Native,"40,230",Arizona
2010,Male,Hispanic,Asian,"7,985",Arizona
2010,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,509",Arizona
2010,Male,Hispanic,Two or More Races,"22,131",Arizona
2010,Female,Non Hispanic,White,"1,874,603",Arizona
2010,Female,Non Hispanic,Black or African American,"114,756",Arizona
2010,Female,Non Hispanic,American Indian and Alaska Native,"132,838",Arizona
2010,Female,Non Hispanic,Asian,"93,087",Arizona
2010,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"4,972",Arizona
2010,Female,Non Hispanic,Two or More Races,"55,578",Arizona
2010,Female,Hispanic,White,"857,237",Arizona
2010,Female,Hispanic,Black or African American,"20,345",Arizona
2010,Female,Hispanic,American Indian and Alaska Native,"37,399",Arizona
2010,Female,Hispanic,Asian,"8,110",Arizona
2010,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,466",Arizona
2010,Female,Hispanic,Two or More Races,"21,859",Arizona
2011,Male,Non Hispanic,White,"1,838,841",Arizona
2011,Male,Non Hispanic,Black or African American,"130,734",Arizona
2011,Male,Non Hispanic,American Indian and Alaska Native,"127,851",Arizona
2011,Male,Non Hispanic,Asian,"84,808",Arizona
2011,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,288",Arizona
2011,Male,Non Hispanic,Two or More Races,"56,514",Arizona
2011,Male,Hispanic,White,"877,570",Arizona
2011,Male,Hispanic,Black or African American,"20,235",Arizona
2011,Male,Hispanic,American Indian and Alaska Native,"41,213",Arizona
2011,Male,Hispanic,Asian,"8,163",Arizona
2011,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,551",Arizona
2011,Male,Hispanic,Two or More Races,"22,956",Arizona
2011,Female,Non Hispanic,White,"1,879,088",Arizona
2011,Female,Non Hispanic,Black or African American,"117,581",Arizona
2011,Female,Non Hispanic,American Indian and Alaska Native,"134,492",Arizona
2011,Female,Non Hispanic,Asian,"97,600",Arizona
2011,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"5,073",Arizona
2011,Female,Non Hispanic,Two or More Races,"57,591",Arizona
2011,Female,Hispanic,White,"871,019",Arizona
2011,Female,Hispanic,Black or African American,"20,758",Arizona
2011,Female,Hispanic,American Indian and Alaska Native,"38,288",Arizona
2011,Female,Hispanic,Asian,"8,238",Arizona
2011,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,513",Arizona
2011,Female,Hispanic,Two or More Races,"22,678",Arizona
2012,Male,Non Hispanic,White,"1,848,224",Arizona
2012,Male,Non Hispanic,Black or African American,"134,839",Arizona
2012,Male,Non Hispanic,American Indian and Alaska Native,"129,612",Arizona
2012,Male,Non Hispanic,Asian,"88,926",Arizona
2012,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,429",Arizona
2012,Male,Non Hispanic,Two or More Races,"58,702",Arizona
2012,Male,Hispanic,White,"894,394",Arizona
2012,Male,Hispanic,Black or African American,"20,706",Arizona
2012,Male,Hispanic,American Indian and Alaska Native,"42,419",Arizona
2012,Male,Hispanic,Asian,"8,323",Arizona
2012,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,615",Arizona
2012,Male,Hispanic,Two or More Races,"23,809",Arizona
2012,Female,Non Hispanic,White,"1,888,975",Arizona
2012,Female,Non Hispanic,Black or African American,"121,527",Arizona
2012,Female,Non Hispanic,American Indian and Alaska Native,"136,490",Arizona
2012,Female,Non Hispanic,Asian,"101,764",Arizona
2012,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"5,175",Arizona
2012,Female,Non Hispanic,Two or More Races,"59,762",Arizona
2012,Female,Hispanic,White,"887,267",Arizona
2012,Female,Hispanic,Black or African American,"21,189",Arizona
2012,Female,Hispanic,American Indian and Alaska Native,"39,441",Arizona
2012,Female,Hispanic,Asian,"8,363",Arizona
2012,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,550",Arizona
2012,Female,Hispanic,Two or More Races,"23,477",Arizona
2013,Male,Non Hispanic,White,"1,854,639",Arizona
2013,Male,Non Hispanic,Black or African American,"138,399",Arizona
2013,Male,Non Hispanic,American Indian and Alaska Native,"131,161",Arizona
2013,Male,Non Hispanic,Asian,"93,539",Arizona
2013,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,514",Arizona
2013,Male,Non Hispanic,Two or More Races,"60,814",Arizona
2013,Male,Hispanic,White,"911,140",Arizona
2013,Male,Hispanic,Black or African American,"21,288",Arizona
2013,Male,Hispanic,American Indian and Alaska Native,"43,392",Arizona
2013,Male,Hispanic,Asian,"8,398",Arizona
2013,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,663",Arizona
2013,Male,Hispanic,Two or More Races,"24,638",Arizona
2013,Female,Non Hispanic,White,"1,896,665",Arizona
2013,Female,Non Hispanic,Black or African American,"125,248",Arizona
2013,Female,Non Hispanic,American Indian and Alaska Native,"138,422",Arizona
2013,Female,Non Hispanic,Asian,"106,452",Arizona
2013,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"5,325",Arizona
2013,Female,Non Hispanic,Two or More Races,"62,128",Arizona
2013,Female,Hispanic,White,"904,376",Arizona
2013,Female,Hispanic,Black or African American,"21,743",Arizona
2013,Female,Hispanic,American Indian and Alaska Native,"40,421",Arizona
2013,Female,Hispanic,Asian,"8,412",Arizona
2013,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,612",Arizona
2013,Female,Hispanic,Two or More Races,"24,375",Arizona
2014,Male,Non Hispanic,White,"1,867,366",Arizona
2014,Male,Non Hispanic,Black or African American,"142,665",Arizona
2014,Male,Non Hispanic,American Indian and Alaska Native,"132,866",Arizona
2014,Male,Non Hispanic,Asian,"98,413",Arizona
2014,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,632",Arizona
2014,Male,Non Hispanic,Two or More Races,"63,206",Arizona
2014,Male,Hispanic,White,"931,592",Arizona
2014,Male,Hispanic,Black or African American,"21,988",Arizona
2014,Male,Hispanic,American Indian and Alaska Native,"44,509",Arizona
2014,Male,Hispanic,Asian,"8,609",Arizona
2014,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,752",Arizona
2014,Male,Hispanic,Two or More Races,"25,487",Arizona
2014,Female,Non Hispanic,White,"1,909,409",Arizona
2014,Female,Non Hispanic,Black or African American,"129,621",Arizona
2014,Female,Non Hispanic,American Indian and Alaska Native,"140,226",Arizona
2014,Female,Non Hispanic,Asian,"111,560",Arizona
2014,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"5,448",Arizona
2014,Female,Non Hispanic,Two or More Races,"64,283",Arizona
2014,Female,Hispanic,White,"923,257",Arizona
2014,Female,Hispanic,Black or African American,"22,288",Arizona
2014,Female,Hispanic,American Indian and Alaska Native,"41,621",Arizona
2014,Female,Hispanic,Asian,"8,626",Arizona
2014,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,672",Arizona
2014,Female,Hispanic,Two or More Races,"25,317",Arizona
2015,Male,Non Hispanic,White,"1,879,178",Arizona
2015,Male,Non Hispanic,Black or African American,"147,767",Arizona
2015,Male,Non Hispanic,American Indian and Alaska Native,"133,937",Arizona
2015,Male,Non Hispanic,Asian,"102,360",Arizona
2015,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,759",Arizona
2015,Male,Non Hispanic,Two or More Races,"65,254",Arizona
2015,Male,Hispanic,White,"954,185",Arizona
2015,Male,Hispanic,Black or African American,"22,554",Arizona
2015,Male,Hispanic,American Indian and Alaska Native,"45,889",Arizona
2015,Male,Hispanic,Asian,"8,782",Arizona
2015,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,825",Arizona
2015,Male,Hispanic,Two or More Races,"26,324",Arizona
2015,Female,Non Hispanic,White,"1,922,354",Arizona
2015,Female,Non Hispanic,Black or African American,"134,811",Arizona
2015,Female,Non Hispanic,American Indian and Alaska Native,"141,434",Arizona
2015,Female,Non Hispanic,Asian,"115,730",Arizona
2015,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"5,532",Arizona
2015,Female,Non Hispanic,Two or More Races,"66,455",Arizona
2015,Female,Hispanic,White,"943,718",Arizona
2015,Female,Hispanic,Black or African American,"22,900",Arizona
2015,Female,Hispanic,American Indian and Alaska Native,"43,094",Arizona
2015,Female,Hispanic,Asian,"8,788",Arizona
2015,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,751",Arizona
2015,Female,Hispanic,Two or More Races,"26,295",Arizona
2016,Male,Non Hispanic,White,"1,894,728",Arizona
2016,Male,Non Hispanic,Black or African American,"153,158",Arizona
2016,Male,Non Hispanic,American Indian and Alaska Native,"135,167",Arizona
2016,Male,Non Hispanic,Asian,"107,390",Arizona
2016,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,896",Arizona
2016,Male,Non Hispanic,Two or More Races,"67,739",Arizona
2016,Male,Hispanic,White,"975,440",Arizona
2016,Male,Hispanic,Black or African American,"23,258",Arizona
2016,Male,Hispanic,American Indian and Alaska Native,"47,308",Arizona
2016,Male,Hispanic,Asian,"8,976",Arizona
2016,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,918",Arizona
2016,Male,Hispanic,Two or More Races,"27,382",Arizona
2016,Female,Non Hispanic,White,"1,938,125",Arizona
2016,Female,Non Hispanic,Black or African American,"141,006",Arizona
2016,Female,Non Hispanic,American Indian and Alaska Native,"143,060",Arizona
2016,Female,Non Hispanic,Asian,"121,187",Arizona
2016,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"5,693",Arizona
2016,Female,Non Hispanic,Two or More Races,"68,931",Arizona
2016,Female,Hispanic,White,"965,329",Arizona
2016,Female,Hispanic,Black or African American,"23,516",Arizona
2016,Female,Hispanic,American Indian and Alaska Native,"44,524",Arizona
2016,Female,Hispanic,Asian,"8,989",Arizona
